time,open,high,low,close,tick_volume,spread,real_volume
2024-04-17 20:00:00,2372.43,2379.1,2354.53,2360.99,25162,20,0
2024-04-18 00:00:00,2361.63,2370.06,2361.63,2369.77,7357,20,0
2024-04-18 04:00:00,2369.75,2376.46,2364.07,2375.04,19795,20,0
2024-04-18 08:00:00,2375.18,2381.16,2373.6,2379.95,23884,20,0
2024-04-18 12:00:00,2379.99,2387.39,2377.26,2385.45,24226,20,0
2024-04-18 16:00:00,2385.44,2392.75,2369.56,2387.95,43375,20,0
2024-04-18 20:00:00,2387.99,2389.28,2376.95,2377.44,17994,20,0
2024-04-19 00:00:00,2378.61,2381.44,2373.75,2379.46,6491,20,0
2024-04-19 04:00:00,2379.45,2417.76,2378.77,2383.59,42998,20,0
2024-04-19 08:00:00,2383.53,2393.83,2378.01,2384.18,30237,20,0
2024-04-19 12:00:00,2384.2,2386.07,2372.67,2381.46,27471,20,0
2024-04-19 16:00:00,2381.4,2399.62,2373.01,2399.62,38849,20,0
2024-04-19 20:00:00,2399.62,2401.9,2386.63,2390.64,17634,20,0
2024-04-22 00:00:00,2388.22,2388.85,2381.07,2382.17,10100,20,0
2024-04-22 04:00:00,2382.15,2384.24,2361.95,2369.65,22621,20,0
2024-04-22 08:00:00,2369.98,2370.47,2351.48,2359.53,28444,20,0
2024-04-22 12:00:00,2359.53,2363.63,2333.03,2336.85,26992,20,0
2024-04-22 16:00:00,2336.85,2343.78,2328.92,2329.81,33707,20,0
2024-04-22 20:00:00,2329.8,2334.74,2324.82,2325.41,11892,20,0
2024-04-23 00:00:00,2327.45,2333.9,2326.93,2332.63,8251,20,0
2024-04-23 04:00:00,2332.58,2334.39,2295.49,2305.54,27685,20,0
2024-04-23 08:00:00,2305.45,2314.71,2298.79,2303.27,25662,20,0
2024-04-23 12:00:00,2303.29,2313.55,2291.39,2311.83,26478,20,0
2024-04-23 16:00:00,2311.81,2332.06,2309.54,2330.31,41057,20,0
2024-04-23 20:00:00,2330.32,2331.3,2321.25,2321.86,14507,20,0
2024-04-24 00:00:00,2321.87,2324.28,2320.67,2320.87,5923,20,0
2024-04-24 04:00:00,2320.89,2330.09,2315.76,2326.64,18361,20,0
2024-04-24 08:00:00,2326.61,2331.28,2316.13,2319.15,22147,20,0
2024-04-24 12:00:00,2319.17,2323.45,2311.76,2323.23,21291,20,0
2024-04-24 16:00:00,2323.23,2337.2,2316.0,2325.09,37056,20,0
2024-04-24 20:00:00,2325.01,2330.5,2313.73,2315.91,15356,20,0
2024-04-25 00:00:00,2315.38,2319.35,2315.35,2319.17,5682,20,0
2024-04-25 04:00:00,2319.16,2322.01,2305.08,2315.28,15455,20,0
2024-04-25 08:00:00,2315.41,2328.85,2314.38,2326.86,18411,20,0
2024-04-25 12:00:00,2326.85,2334.59,2323.34,2330.67,20353,20,0
2024-04-25 16:00:00,2330.68,2344.79,2312.69,2328.7,42667,20,0
2024-04-25 20:00:00,2328.74,2336.42,2326.27,2331.82,14967,20,0
2024-04-26 00:00:00,2332.3,2333.88,2328.66,2329.87,3952,20,0
2024-04-26 04:00:00,2329.8,2337.97,2326.3,2335.91,13970,20,0
2024-04-26 08:00:00,2335.91,2350.12,2333.93,2347.0,20498,20,0
2024-04-26 12:00:00,2347.01,2352.44,2340.54,2344.75,21425,20,0
2024-04-26 16:00:00,2344.81,2350.31,2328.63,2333.6,37635,20,0
2024-04-26 20:00:00,2333.55,2341.34,2332.62,2337.78,11980,20,0
2024-04-29 00:00:00,2337.89,2337.89,2330.62,2332.11,6657,20,0
2024-04-29 04:00:00,2332.08,2333.26,2319.85,2332.64,24113,20,0
2024-04-29 08:00:00,2332.63,2341.19,2327.45,2338.06,26213,20,0
2024-04-29 12:00:00,2338.1,2344.28,2328.19,2331.96,19107,20,0
2024-04-29 16:00:00,2331.94,2346.63,2325.51,2342.72,32473,20,0
2024-04-29 20:00:00,2342.8,2346.61,2332.95,2335.82,15835,20,0
2024-04-30 00:00:00,2335.64,2336.3,2331.7,2334.0,5723,20,0
